Group,Seed,Test Loss,Excluded Loss,Restricted Loss,Logit FVE,$W_E$ FVE,$W_U$ FVE,MLP FVE,Key Irreps
$C_{113}$,seed1,1.88e-07,9.77,0.02,96.85\%,90.08\%,99.49\%,92.67\%,"16, 30, 56"
$C_{113}$,seed2,3.89e-07,8.45,0.01,96.70\%,96.91\%,99.71\%,89.72\%,"43, 53, 52, 49"
$C_{113}$,seed3,3.39e-07,8.76,8.19e-03,95.21\%,95.70\%,99.23\%,93.32\%,"25, 56, 33, 19"
$C_{113}$,seed4,1.53e-07,10.69,0.04,97.93\%,98.05\%,99.64\%,92.77\%,"11, 12, 18"
$C_{118}$,seed1,1.67e-07,9.54,1.63e-03,98.55\%,93.88\%,99.82\%,94.81\%,"37, 10, 16, sign, 19"
$C_{118}$,seed2,1.94e-07,12.67,2.42e-03,98.35\%,98.12\%,99.49\%,92.76\%,"8, 12, 27, 57"
$C_{118}$,seed3,1.74e-07,6.25,3.16e-03,98.59\%,92.74\%,99.84\%,93.49\%,"53, 51, 4, 46"
$C_{118}$,seed4,1.59e-07,35.28,1.01,97.29\%,91.46\%,99.42\%,97.46\%,"17, sign, 29"
$D_{59}$,seed1,7.83e-06,54.66,1.06e-04,46.36\%,98.36\%,95.46\%,85.38\%,"sign, 21, 5, 2"
$D_{59}$,seed2,3.76e-06,69.84,6.62e-08,51.28\%,98.10\%,99.80\%,84.26\%,"1, 15, 23"
$D_{59}$,seed3,4.21e-07,31.95,6.76e-06,67.51\%,99.12\%,99.36\%,85.09\%,"22, 20, 26"
$D_{59}$,seed4,8.07e-07,29.24,1.23e-07,51.58\%,98.76\%,99.49\%,85.31\%,"1, 16, sign, 24, 4"
$D_{61}$,seed1,0.07,27.57,3.41e-03,59.47\%,95.48\%,95.39\%,86.08\%,"13, 26, 6, 16, 4, 1, 14, 12, 18"
$D_{61}$,seed2,9.56e-06,51.42,0.38,40.88\%,98.91\%,94.59\%,85.70\%,"sign, 24, 4, 18"
$D_{61}$,seed3,4.23e-07,53.44,6.87e-08,51.71\%,99.06\%,99.82\%,85.38\%,"8, sign, 23, 28"
$D_{61}$,seed4,1.89e-07,34.13,7.29e-08,56.37\%,99.88\%,99.79\%,85.20\%,"2, 6, 13"
$S_{5}$,seed1,1.42e-07,16.63,1.78e-09,62.85\%,99.86\%,99.98\%,80.51\%,"sign, standard-sign"
$S_{5}$,seed2,2.41e-07,12.66,1.60e-08,73.46\%,99.69\%,99.92\%,80.85\%,"sign, standard-sign"
$S_{5}$,seed3,9.39e-08,20.86,1.73e-11,59.06\%,99.91\%,99.99\%,89.87\%,"sign, standard"
$S_{5}$,seed4,9.51e-08,20.93,1.77e-11,59.07\%,99.90\%,99.99\%,89.88\%,"sign, standard"
$A_{5}$,seed1,1.35e-07,15.65,1.40e-03,63.19\%,94.62\%,95.00\%,77.00\%,"3d-a, 3d-b"
$A_{5}$,seed2,1.30e-07,15.52,1.68e-03,63.29\%,94.55\%,94.95\%,77.08\%,"3d-a, 3d-b"
$A_{5}$,seed3,0.20,27.92,1.30e-10,25.23\%,101.04\%,99.68\%,90.65\%,"5d-a, 3d-b, 3d-a"
$A_{5}$,seed4,8.06e-08,19.95,1.21e-11,52.84\%,99.92\%,99.98\%,89.52\%,standard
